Título,Ano,Nota
Devoradores de Estrelas,2026,"8,4"
Peaky Blinders: O Homem Imortal,2026,"6,6"
Mike & Nick & Nick & Alice,2026,"6,3"
Socorro!,2026,"7,0"
Dhurandhar The Revenge,2026,"8,6"
Uma Batalha Após a Outra,2025,"7,7"
Dhurandhar,2025,"8,3"
Casamento Sangrento: A Viúva,2026,"7,0"
Anaconda,2025,"5,6"
"Cara de Um, Focinho de Outro",2026,"7,5"
Justiça Artificial,2026,"6,2"
Lindas e Letais,2026,"5,8"
Máquina de Guerra,2026,"6,3"
Pecadores,2025,"7,5"
Eles Vão Te Matar,2026,"6,5"
Um Cabra Bom de Bola,2026,"6,7"
Zootopia 2,2025,"7,4"
Manual Prático da Vingança Lucrativa,2026,"6,5"
A Empregada,2025,"6,8"
Casamento Sangrento,2019,"6,9"
"Boa Sorte, Divirta-se, Não Morra",Lançamento em 9 de abr. de 2026,"7,1"
Super Mario Galaxy: O Filme,Lançamento em 2 de abr. de 2026,
O Fim da Rua,Previsão para 14 de ago. de 2026,
Hamnet: A Vida Antes de Hamlet,2025,"7,8"
Pânico 7,2026,"5,6"
Marty Supreme,2025,"7,7"
Nuremberg,2025,"7,4"
Forbidden Fruits,2026,"6,1"
Homem-Aranha: Um Novo Dia,Previsão para 31 de jul. de 2026,
A Hora do Mal,2025,"7,4"
"""O Morro dos Ventos Uivantes""",2026,"6,2"
Caminhos do Crime,2026,"7,0"
Uma Segunda Chance,2026,"6,4"
I Swear,2025,"8,4"
Missão Refúgio,2026,"6,2"
Bugonia,2025,"7,4"
O Drama,Lançamento em 9 de abr. de 2026,
Valor Sentimental,2025,"7,7"
Interestelar,2014,"8,7"
Moana,Previsão para 9 de jul. de 2026,
Superman,2025,"7,0"
Duna: Parte 3,Previsão para 18 de dez. de 2026,
Frankenstein,2025,"7,4"
Wardriver,2026,"5,2"
Um Sonho de Liberdade,1994,"9,3"
The Mortuary Assistant,Lançamento em 9 de abr. de 2026,"3,9"
Bailarina,2025,"6,8"
Heel,2025,"6,9"
A Maravilhosa Árvore Encantada,Lançamento em 14 de mai. de 2026,"6,8"
Sonhos de Trem,2025,"7,5"
Agente Zeta,2026,"5,8"
Mardaani 3,2026,"6,9"
The Red Line,2026,"6,1"
Extermínio: O Templo dos Ossos,2026,"7,3"
Dinheiro Suspeito,2026,"6,8"
A Odisseia,Previsão para 17 de jul. de 2026,
Undertone,2025,"6,2"
Duna: Parte 2,2024,"8,4"
O Primata,2025,"5,8"
Anônimo 2,2025,"6,3"
Drácula: Uma História de Amor Eterno,2025,"6,2"
Duna,2021,"8,0"
F1: O Filme,2025,"7,6"
Vivo ou Morto: Um Mistério Knives Out,2025,"7,3"
Isso Ainda Está de Pé?,2025,"6,7"
Harry Potter e a Pedra Filosofal,2001,"7,7"
O Agente Secreto,2025,"7,2"
O Poderoso Chefão,1972,"9,2"
O Bom Bandido,2025,"6,9"
Super Mario Bros.: O Filme,2023,"7,0"
Avatar: Fogo e Cinzas,2025,"7,3"
De Volta para o Futuro,1985,"8,5"
A Noiva!,2026,"5,8"
Predador: Terras Selvagens,2025,"7,2"
Perdido em Marte,2015,"8,0"
O Sobrevivente,2025,"6,4"
Alerta Apocalipse,2026,"6,1"
A Origem,2010,"8,8"
O Senhor dos Anéis: A Sociedade do Anel,2001,"8,9"
Batman: O Cavaleiro das Trevas,2008,"9,1"
Power: The Downfall of Huw Edwards,2026,"6,5"
Homem-Aranha: Sem Volta para Casa,2021,"8,1"
Dia D,Lançamento em 11 de jun. de 2026,
Downhill,2020,"4,9"
Michael,Lançamento em 24 de abr. de 2026,
Maldição da Múmia,Lançamento em 16 de abr. de 2026,
Louis Theroux: Por Dentro da Machosfera,2026,"7,0"
A Única Saída,2025,"7,6"
Stop! That! Train!,Lançamento em 12 de jun. de 2026,
Não Entre,2026,"4,3"
Fackham Hall,2025,"6,4"
Truque de Mestre: O 3° Ato,2025,"5,9"
Dupla Perigosa,2026,"6,4"
Família de Aluguel,2025,"7,6"
Anaconda,1997,"5,0"
Huo zhe yan,2025,"7,8"
A Casa dos Maus Espíritos,1959,"6,7"
Os Infiltrados,2006,"8,5"
"Se Eu Tivesse Pernas, Eu Te Chutaria",2025,"6,6"
Top Gun: Ases Indomáveis,1986,"7,0"
